informaticien,informaticienLabel,date_de_naissance,sexe_ou_genre,sexe_ou_genreLabel,lieu_de_naissance,lieu_de_naissanceLabel
http://www.wikidata.org/entity/Q92730,David May,1951-02-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q92731,Hartmut Surmann,1963-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92732,Maynard Olson,1943-10-02T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92733,James Goodnight,1943-01-06T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92734,John G.F. Francis,1934-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q92735,Jürgen Schmidhuber,1963-01-17T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92736,Anant Agarwal,1959-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92737,Ike Nassi,1949-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92738,Kent Beck,1961-03-31T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92739,John McCarthy,1927-09-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92740,Jef Raskin,1943-03-09T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92741,Alonzo Church,1903-06-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92742,Alan Kay,1940-05-17T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92743,Vint Cerf,1943-06-23T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92744,Kristen Nygaard,1926-08-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q20,Norvège
http://www.wikidata.org/entity/Q92745,Ole-Johan Dahl,1931-10-12T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q20,Norvège
http://www.wikidata.org/entity/Q92746,John Backus,1924-12-03T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92747,Eric Schmidt,1955-04-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92748,Yukihiro Matsumoto,1965-04-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q17,Japon
